2021-06-18 16:13:58.121327
lap, lap_time, total_time

2021-06-18 16:14:05.229044
lap, lap_time, total_time

2021-06-18 16:14:47.643610
lap, lap_time, total_time
1,5.5479736328125,5.5479736328125
2,2.8106629848480225,8.397779941558838
3,5.486890554428101,13.905619621276855

2021-06-18 16:15:47.786618
lap, lap_time, total_time
1,2.671992301940918,2.671992301940918
2,2.3960072994232178,5.148674011230469
3,6.155849933624268,11.389078378677368
4,9.693030834197998,21.157002210617065
5,10.26547646522522,31.4641695022583
6,3.8085873126983643,35.35281205177307

